Month,#Passengers
1/22/2020,2
1/22/2020,2
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,444
1/22/2020,0
1/22/2020,1
1/22/2020,0
1/22/2020,26
1/22/2020,5
1/22/2020,10
1/22/2020,4
1/22/2020,1
1/22/2020,2
1/22/2020,2
1/22/2020,0
1/22/2020,1
1/22/2020,6
1/22/2020,5
1/22/2020,0
1/22/2020,0
1/22/2020,14
1/22/2020,9
1/22/2020,1
1/22/2020,1
1/22/2020,2
1/22/2020,0
1/22/2020,1
1/22/2020,4
1/22/2020,1
1/22/2020,4
1/22/2020,1
1/22/2020,0
1/22/2020,0
1/22/2020,2
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,1
1/22/2020,1
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,1
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,1
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/22/2020,0
1/23/2020,3
1/23/2020,1
1/23/2020,1
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,0
1/23/2020,444
1/23/2020,0
1/23/2020,1
1/23/2020,0
1/23/2020,32
1/23/2020,5
1/23/2020,27
1/23/2020,9
1/23/2020,9
1/23/2020,7
1/23/2020,6
1/23/2020,0
1/23/2020,5
